price,area_sqft,city,thana,bedrooms,bathrooms,floor_level,total_floors,building_age,lift,gas_line,airco,generator,security,parking,garagepl,road_width_ft,distance_main_road_m,near_school,near_hospital,near_market,driveway,fullbase,prefarea
33440000,1726,Dhaka,Gulshan-1,3,1,3,3,21,0,1,1,1,1,0,0,60,608,1,1,0,0,0,1
11450000,2439,Rajshahi,Motihar,4,1,3,6,10,1,1,1,1,0,0,0,20,209,0,0,0,1,0,0
9300000,1800,Rajshahi,Boalia,4,2,12,12,21,1,0,0,0,0,0,0,15,346,1,1,0,0,0,0
8290000,1300,Dhaka,Rayer Bazar,3,1,8,10,29,1,1,0,1,0,1,2,60,754,0,0,1,0,0,0
23350000,2644,Sylhet,Amberkhana,5,4,3,3,7,0,0,0,1,0,1,2,60,624,0,1,1,1,0,0
5150000,860,Rajshahi,Poba,5,4,10,12,17,1,0,0,1,0,1,2,80,61,1,0,1,0,0,0
11820000,1331,Sylhet,Shahjalal,2,2,11,15,6,1,0,0,1,1,0,0,15,432,1,0,0,0,0,0
15330000,922,Dhaka,Dhanmondi,2,2,2,6,24,1,1,1,1,1,1,2,15,181,0,1,0,1,1,1
10130000,1876,Chattogram,Pahartali,5,3,8,11,3,1,0,1,1,1,0,0,15,280,0,1,0,0,1,0
25630000,2588,Chattogram,Nasirabad,3,3,3,7,18,1,1,1,0,0,1,1,30,298,1,0,0,0,1,0
5380000,1047,Rajshahi,Rajpara,3,1,4,7,4,1,0,1,0,0,1,1,30,237,1,0,1,1,1,0
26990000,2264,Chattogram,GEC Circle,5,4,4,7,28,1,1,1,1,1,1,1,10,218,0,0,1,0,0,1
8540000,1377,Rajshahi,Motihar,4,2,1,5,1,1,0,1,1,1,0,0,60,371,0,0,1,1,0,1
5840000,878,Dhaka,Rayer Bazar,3,2,2,3,18,0,1,1,1,1,1,2,40,90,1,1,0,1,1,1
8240000,1828,Chattogram,Pahartali,5,3,2,2,19,0,1,0,1,1,0,0,40,152,1,0,1,1,0,0
15250000,1826,Dhaka,Shyamoli,2,1,5,5,23,1,1,0,0,0,1,1,40,209,0,1,0,1,0,0
7170000,614,Sylhet,Sylhet Sadar,4,2,11,11,23,1,1,1,0,0,1,2,30,614,0,0,1,1,1,0
8120000,763,Sylhet,Zindabazar,4,2,11,11,11,1,0,0,1,1,1,1,80,623,0,1,1,1,0,0
7100000,1692,Rajshahi,Motihar,3,3,2,2,27,0,1,0,1,1,0,0,30,277,1,1,0,0,1,0
6460000,1956,Rajshahi,Poba,2,1,5,6,1,1,0,0,0,1,1,1,10,660,0,1,1,1,0,0
23850000,2366,Chattogram,Nasirabad,2,2,10,12,27,1,0,0,0,0,1,1,10,787,1,0,1,0,1,0
6760000,601,Sylhet,Uposhohor,4,3,4,6,14,1,0,0,0,1,1,2,30,502,1,0,0,1,0,0
8730000,1871,Chattogram,Pahartali,3,1,3,3,7,0,0,0,0,0,0,0,30,675,1,0,0,0,0,0
6100000,1320,Rajshahi,Motihar,5,1,9,9,14,1,0,0,0,0,1,2,15,525,0,0,1,0,0,0
13700000,2544,Chattogram,Pahartali,5,3,4,9,8,1,1,1,1,1,1,1,80,583,1,0,1,1,0,0
25550000,2299,Chattogram,Agrabad,5,3,9,12,1,1,0,0,0,0,1,1,15,480,1,1,1,0,0,0
6540000,1503,Rajshahi,Poba,5,2,5,8,0,1,0,1,0,1,1,2,30,394,0,1,1,0,1,0
12170000,2491,Rajshahi,Motihar,3,1,5,7,6,1,1,0,0,1,1,1,30,384,1,1,1,0,0,0
6080000,764,Dhaka,Shyamoli,2,1,4,4,19,1,0,0,0,0,0,0,15,294,0,0,0,1,0,0
